"cue","feature"
"airplane","has wings"
"airplane","people ride in it"
"airplane","its big"
"airplane","it has a jet"
"airplane","has pilots"
"airplane","can crash"
"airplane","transports people"
"airplane","it flies"
"airplane","has an engine"
"airplane","has wings"
"airplane","seats people"
"airplane","it flies"
"airplane","can be large"
"airplane","can be small"
"airplane","it transports"
"airplane","it can fly"
"airplane","it's heavy"
"airplane","its on land"
"airplane","it's in the air"
"airplane","people ride in it"
"airplane","people work on it"
"airplane","it's built from parts"
"airplane","it has cabins"
"airplane","it's warm"
"airplane","it's cold"
"airplane","it has an engine"
"airplane","it can go across country"
"airplane","it has passengers"
"airplane","it has a pilot"
"airplane","it's large"
"airplane","is transportation"
"airplane","is expensive"
"airplane","it's full of people"
"airplane","it can be used for mass destruction"
"airplane","it is suppose to be the safer way to travel"
"airplane","is made of metal"
"airplane","carries passengers"
"airplane","travels quickly"
"airplane","looks neat"
"airplane","is multicolored"
"airplane","is made in factories"
"airplane","is long"
"airplane","inside has equipment"
"airplane","runs on gas"
"airplane","can be become hot"
"airplane","is a necessity"
"airplane","inside has food"
"airplane","inside has seats"
"airplane","inside has technology"
"airplane","is large"
"airplane","white"
"airplane","many windows"
"airplane","is big"
"airplane","is heavy"
"airplane","is an object that flies"
"airplane","cylindrical shaped body"
"airplane","provides quick travel"
"airplane","is fast"
"airplane","made of metal"
"airplane","carries passengers"
"airplane","runs on fuel"
"airplane","can travel long distances"
"airplane","is a vehicle"
"airplane","uses an engine"
"airplane","uses gasoline"
"airplane","used to carry passengers"
"airplane","travels distances"
"airplane","flies"
"airplane","has wings"
"airplane","found in airports"
"airplane","multiple types"
"airplane","is a transportation"
"airplane","runs on gas"
"airplane","used to travel"
"airplane","is a sort of transportation"
"airplane","travel"
"airplane","carries people and luggage"
"airplane","takes off and flies in the air"
"airplane","is a form of transportation"
"airplane","flies"
"airplane","is made of metal"
"airplane","runs on gas"
"airplane","is big"
"airplane","used by people"
"airplane","has wings"
"airplane","huge"
"airplane","windows"
"airplane","wings"
"airplane","people"
"airplane","have wings"
"airplane","transport"
"airplane","flies"
"airplane","has wings"
"airplane","has nose"
"airplane","flies"
"airplane","fast"
"airplane","holds people"
"airplane","need oil"
"airplane","large"
"airplane","has wings"
"airplane","has an engine"
"airplane","has wings"
"airplane","has a tail"
"airplane","runs on gas"
"airplane","has wings"
"airplane","form of transportation"
"airplane","carries people"
"airplane","flying"
"airplane","has wings"
"airplane","can fly"
"airplane","made of metal"
"airplane","fly engine wings wheels seat pilot tail wheel passenger flight attendant food pillow time sky turbulence transportation"
"airplane","fly"
"airplane","used for travel"
"airplane","flying"
"airplane","wing"
"airplane","pilot"
"airplane","flying"
"airplane","heights"
"airplane","fear"
"airplane","9/11"
"airplane","pilot"
"airplane","the movie airplane"
"airplane","flying"
"airplane","big"
"airplane","loud"
"airplane","flying"
"airplane","fly in the air"
"airplane","take off on the ground"
"airplane","have wings"
"airplane","have wheels"
"airplane","passengers sit in them"
"airplane","pilots conduct them"
"airplane","must pay money to have a flight on one"
"airplane","run on gas"
"airplane","has seats"
"airplane","has seat belts"
"airplane","gives drinks and peanuts on a flight"
"airplane","are usually big"
"airplane","fly"
"airplane","air"
"airplane","physics"
"airplane","milestones"
"airplane","passenger"
"airplane","wars"
"airplane","wings"
"airplane","used to transport"
"airplane","difference lays in engines"
"airplane","fast"
"airplane","high up"
"airplane","mile high club"
"airplane","fly"
"airplane","flight attendant"
"airplane","9/11"
"airplane","peanuts"
"airplane","pilots"
"airplane","wings"
"airplane","sky"
"airplane","landing"
"airplane","travel"
"airplane","flies high in the sky"
"airplane","flies"
"airplane","runs on gas"
"airplane","steered by a pilot"
"airplane","holds people"
"airplane","holds luggage"
"airplane","is big"
"airplane","made of metal"
"airplane","has wings"
"airplane","has engines"
"airplane","has windows"
"airplane","flies"
"airplane","holds people"
"airplane","moves people"
"airplane","very big"
"airplane","flies"
"airplane","has engines"
"airplane","white"
"airplane","loud"
"airplane","big"
"airplane","makes lift"
"airplane","runs on jet fuel"
"airplane","flies"
"airplane","Grey"
"airplane","wings"
"airplane","fuel"
"airplane","windows"
"airplane","flies"
"airplane","fast"
"airplane","has wings"
"airplane","has lift"
"airplane","made of steel"
"airplane","has windows"
"airplane","carries passengers"
"airplane","large"
"airplane","heavy"
"airplane","flies"
"airplane","carries people"
"airplane","carries cargo"
"airplane","made of metal"
"airplane","has engines"
"airplane","driven by pilot"
"airplane","goes long distances"
"airplane","flies"
"airplane","clouds"
"airplane","can fly"
"airplane","is big"
"airplane","travel"
"airplane","vacation"
"airplane","pilots"
"airplane","passengers"
"airplane","luggage"
"airplane","big flies in the sky"
"airplane","used for travel"
"airplane","are meant to fly"
"airplane","help us travel"
"airplane","runs on fuel"
"airplane","is also a movie"
"airplane","can be big or small"
"airplane","an airplane has wings"
"airplane","engines"
"airplane","and has the ability to fly"
"airplane","air"
"airplane","wind"
"airplane","engines"
"airplane","technology"
"airplane","math"
"airplane","physics"
"airplane","crashes"
"airplane","heights"
"airplane","fear of heights"
"airplane","anxiety"
"airplane","air"
"airplane","clouds"
"airplane","loud"
"airplane","high"
"airplane","wings"
"airplane","sky"
"airplane","big"
"airplane","found at airports"
"airplane","a form of transportation"
"airplane","flies"
"airplane","make of metal"
"airplane","duns on fuel"
"alligator","type of have evil demeanor reptile"
"alligator","hard dry skin"
"alligator","large teeth"
"alligator","seem to"
"alligator","teeth"
"alligator","hungry"
"alligator","mean"
"alligator","aggression"
"alligator","territorial"
"alligator","teeth"
"alligator","big"
"alligator","green"
"alligator","scary"
"alligator","water"
"alligator","swamp"
"alligator","eat"
"alligator","blood"
"alligator","long"
"alligator","swamps"
"alligator","swamp"
"alligator","dangerous"
"alligator","scary"
"alligator","tails"
"alligator","run"
"alligator","water big"
"alligator","green"
"alligator","scales"
"alligator","teeth"
"alligator","mouth"
"alligator","bite"
"alligator","game warden"
"alligator","skin"
"alligator","shoes"
"alligator","purses"
"alligator","swamp"
"alligator","creepy"
"alligator","scary"
"alligator","crawling"
"alligator","rough"
"alligator","shoes"
"alligator","dangerous"
"alligator","crocodile"
"alligator","sharp teeth"
"alligator","water"
"alligator","reptile"
"alligator","scary"
"alligator","big"
"alligator","mean"
"alligator","teeth"
"alligator","violent"
"alligator","green"
"alligator","reptile"
"alligator","skin and shoes is used to make products such as bags"
"alligator","reptile"
"alligator","scales"
"alligator","tail"
"alligator","death roll"
"alligator","deadly"
"alligator","muscle"
"alligator","reptile"
"alligator","native cousins to a crocodile"
"alligator","living dinosaurs to the Americas"
"alligator","large and scaly"
"alligator","ambush predators"
"alligator","reptile"
"alligator","green"
"alligator","sharp teeth"
"alligator","mean"
"alligator","killing"
"alligator","reptile"
"alligator","green"
"alligator","jaw"
"alligator","large body in murky water"
"alligator","carnivore"
"alligator","predator"
"alligator","sharp teeth"
"alligator","strong"
"alligator","pond teeth"
"alligator","not a crocodile"
"alligator","a large fresh or saltwater reptile"
"alligator","mean"
"alligator","scary"
"alligator","green"
"alligator","lakes"
"alligator","rivers"
"alligator","swamps"
"alligator","mean"
"alligator","green"
"alligator","hard"
"alligator","hungry"
"alligator","mean"
"alligator","dangerous"
"alligator","sharp teeth"
"alligator","rough"
"alligator","water"
"alligator","Louisiana"
"alligator","many teeth"
"alligator","could hurt you"
"alligator","dangerous"
"alligator","green"
"alligator","swamp creatures"
"alligator","Louisiana"
"alligator","marsh"
"alligator","swamp"
"alligator","scary"
"alligator","green"
"alligator","animal"
"alligator","scary"
"alligator","not smooth"
"alligator","found in dangerous"
"alligator","massive"
"alligator","Mississippi"
"alligator","Australia"
"alligator","Louisiana the rivers and swamps"
"alligator","green"
"alligator","brown"
"alligator","sharp teeth"
"alligator","Florida"
"alligator","football"
"alligator","eyes"
"alligator","scales"
"alligator","dragon"
"alligator","green"
"alligator","swimming pool"
"alligator","mean"
"alligator","teeth"
"alligator","attack"
"alligator","sneaky"
"alligator","summer"
"alligator","Florida teeth long tail mean bite green"
"alligator","dangerous"
"alligator","hard to escape from"
"alligator","amphibious"
"alligator","crocodile"
"alligator","teeth"
"alligator","predator"
"alligator","meat eater"
"alligator","crocodile"
"alligator","teeth"
"alligator","water"
"alligator","reptile"
"alligator","predator"
"alligator","crocodile"
"alligator","green"
"alligator","good swimmers brown"
"alligator","swamp"
"alligator","a lot of teeth"
"alligator","scary"
"alligator","sleep a lot"
"alligator","crocodile"
"alligator","green"
"alligator","bayou"
"alligator","swamp"
"alligator","crocodile"
"alligator","crocodile"
"alligator","water"
"alligator","reptile"
"alligator","chicken"
"alligator","green"
"alligator","skin"
"alligator","bit"
"alligator","animal"
"alligator","angry"
"alligator","pond"
"alligator","big scary"
"alligator","bad"
"alligator","hurt"
"alligator","sharp"
"alligator","teeth"
"alligator","animal"
"alligator","zoo"
"alligator","green"
"alligator","scale"
"alligator","scary"
"alligator","animal planet"
"alligator","science"
"alligator","animal"
"alligator","very expensive boot outlooks good"
"alligator","animal"
"alligator","meat green/brown eater"
"alligator","in swamps"
"alligator","fast swimmer"
"alligator","tail"
"alligator","large teeth"
"alligator","animal"
"alligator","lives in water"
"alligator","big mouth"
"alligator","animal"
"alligator","large"
"alligator","hunted for their skin"
"alligator","strong"
"alligator","intimidating powerful jaw"
"alligator","sharp teeth"
"alligator","green and brown"
"alligator","predator"
"alligator","animal"
"alligator","big teeth"
"alligator","mean"
"alligator","animal"
"alligator","big"
"alligator","scary"
"alligator","kills"
"alligator","predator"
"alligator","fast"
"alligator","can swim"
"alligator","animal water big scary"
"alligator","animal green water river bird"
"alligator","an animal"
"alligator","live in water"
"alligator","edible"
"alligator","live in swamps reptile"
"alligator","been around since the dinosaurs"
"alligator","sharp teeth"
"alligator","an animal a reptile that has sharp teeth and live in water"
"alligator","aggressive"
"alligator","predator"
"alligator","scaly"
"alligator","big"
"alligator","swims"
"alligator","a reptile deep south that lives in lakes and swamps in the"
"alligator","a huge such as a lake"
"alligator","very similar to a crocodile"
"alligator","can lizard eat people up that lives in a body of water"
"apple","varies in color"
"apple","tastes good"
"apple","red"
"apple","green"
"apple","sweet or sour/ bitter"
"apple","pies"
"apple","desserts"
"apple","covered in caramel"
"apple","grown on trees"
"apple","snow white"
"apple","orchard"
"apple","sweet"
"apple","sour"
"apple","green"
"apple","red"
"apple","large"
"apple","small"
"apple","seeds"
"apple","skin"
"apple","tasty"
"apple","nutrients"
"apple","juice"
"apple","vitamins"
"apple","smoke"
"apple","red"
"apple","granny smith"
"apple","green"
"apple","apple picking"
"apple","round"
"apple","juicy"
"apple","delicious"
"apple","red"
"apple","green"
"apple","yellow"
"apple","keeps doctor away"
"apple","worms like them"
"apple","good gift for teacher"
"apple","grows on tree"
"apple","has a stem"
"apple","made into pies"
"apple","red green"
"apple","juicy"
"apple","type of food"
"apple","used in cooking"
"apple","tasty"
"apple","grown on trees"
"apple","picked by children and people"
"apple","red"
"apple","sweet"
"apple","green"
"apple","tart"
"apple","round"
"apple","newton"
"apple","math"
"apple","boring"
"apple","red"
"apple","simple"
"apple","round"
"apple","green"
"apple","healthy"
"apple","popular"
"apple","common"
"apple","crisp"
"apple","food"
"apple","fruit"
"apple","does it contain worms"
"apple","hand picked"
"apple","nature"
"apple","childhood"
"apple","red"
"apple","picking"
"apple","pie"
"apple","red"
"apple","juicy"
"apple","green"
"apple","yellow"
"apple","sour"
"apple","sweet"
"apple","has stem"
"apple","has seeds"
"apple","red"
"apple","juicy"
"apple","red"
"apple","hard"
"apple","juicy"
"apple","red"
"apple","green"
"apple","yellow"
"apple","big"
"apple","small"
"apple","juicy"
"apple","red"
"apple","green"
"apple","fruit"
"apple","tree"
"apple","delicious"
"apple","red"
"apple","edible"
"apple","a fruit"
"apple","juicy"
"apple","grows from a tree"
"apple","has seeds"
"apple","a stem"
"apple","could be green or yellow as well"
"apple","and mainly a baseball size"
"apple","red"
"apple","crunchy"
"apple","healthy"
"apple","red"
"apple","big small"
"apple","juicy"
"apple","ripe"
"apple","sweet"
"apple","red"
"apple","pie"
"apple","fall"
"apple","red"
"apple","green"
"apple","crisp"
"apple","pie"
"apple","orange"
"apple","on trees"
"apple","green"
"apple","red"
"apple","taste"
"apple","juicy"
"apple","nutritional"
"apple","juicy"
"apple","colorful"
"apple","johnny Appleseed"
"apple","caramel apples"
"apple","fairs"
"apple","Halloween"
"apple","boning for apples"
"apple","johnny apple seed"
"apple","Fuji"
"apple","green"
"apple","red"
"apple","yellow"
"apple","tasty"
"apple","juicy"
"apple","fruit"
"apple","is red"
"apple","is yellow"
"apple","is crunchy"
"apple","is juicy"
"apple","people eat these"
"apple","healthy food"
"apple","is red"
"apple","is food"
"apple","is hard"
"apple","yellow inside"
"apple","smells fresh"
"apple","is a fruit"
"apple","can be eaten"
"apple","apple-flavored"
"apple","is healthy"
"apple","is nutritious"
"apple","comes in different flavors"
"apple","is a food"
"apple","is a fruit"
"apple","is red"
"apple","green"
"apple","or yellow"
"apple","is healthy"
"apple","iPod"
"apple","iPad"
"apple","mac"
"apple","grown on trees"
"apple","red"
"apple","free"
"apple","yellow"
"apple","worms"
"apple","type of food"
"apple","grow from a tree"
"apple","they are healthy"
"apple","have natural sugars"
"apple","are red"
"apple","are green"
"apple","are yellow"
"apple","green red sour fruit"
"apple","green"
"apple","red"
"apple","yellow"
"apple","sweet"
"apple","sour"
"apple","fruit"
"apple","seeds"
"apple","star"
"apple","cut"
"apple","apple dippers"
"apple","McDonald"
"apple","red"
"apple","yellow"
"apple","gala"
"apple","granny smith"
"apple","fruit"
"apple","seeds"
"apple","red"
"apple","green"
"apple","yellow"
"apple","stem"
"apple","fruit"
"apple","reminds me of teachers"
"apple","red"
"apple","crunchy"
"apple","tasty"
"apple","seeds"
"apple","has a core"
"apple","fruit"
"apple","red peel"
"apple","give to teachers"
"apple","computers"
"apple","iPod"
"apple","fruit"
"apple","red"
"apple","green"
"apple","yellow"
"apple","pie"
"apple","fruit"
"apple","pie"
"apple","red"
"apple","green"
"apple","golden"
"apple","fruit"
"apple","orange"
"apple","red"
"apple","seeds"
"apple","core"
"apple","juice"
"apple","fruit"
"apple","juicy"
"apple","red"
"apple","green"
"apple","healthy"
"apple","grows on a tree"
"apple","has skin"
"apple","fruit"
"apple","has seeds"
"apple","grows on trees"
"apple","fruit"
"apple","grocery store"
"apple","orchard"
"apple","red"
"apple","green"
"apple","yellow"
"apple","good with peanut butter"
"apple","good with caramel"
"apple","fruit"
"apple","food"
"apple","nutritious"
"apple","fruit"
"apple","containing seeds"
"apple","fruit"
"apple","computer company"
"apple","fruit"
"apple","clean teeth"
"apple","can be green red and pink"
"apple","grows on trees"
"apple","can have worms"
"apple","fruit"
"apple","baseball sized"
"apple","sweet"
"apple","sour"
"apple","fruit"
"apple","food"
"apple","trees"
"apple","fruit"
"apple","seeds"
"apple","food"
"apple","company"
"apple","juicy"
"apple","rotten"
"apple","edible"
"apple","core"
"apple","grows on trees"
"apple","edible"
"apple","a fruit"
"apple","can be yellow"
"apple","red"
"apple","or green"
"apple","have a stem"
"apple","have seeds"
"apple","grow on trees"
"apple","edible skin"
"apple","different kinds"
"apple","red"
"apple","gala"
"apple","juicy"
"apple","had a core"
"apple","has seeds"
"apple","edible"
"apple","red"
"apple","round"
"apple","grown on tree"
"apple","has stem"
"apple","has a core"
"apple","has seeds"
"apple","eat"
"apple","fruit"
"apple","tree"
"apple","healthy"
"apple","crisp"
"apple","sweet"
"apple","nutritious"
"apple","laptop"
"apple","crisp"
"apple","fresh"
"apple","clean"
"apple","computer"
"apple","i-pods"
"apple","music"
"apple","fruit"
"apple","green"
"apple","red"
"apple","is yellow"
"apple","soft"
"apple","computer"
"apple","fruit"
"apple","pear"
"apple","banana"
"apple","computer"
"apple","fruit"
"apple","of my eye"
"apple","comes from a tree"
"apple","can have red skin or green skin"
"apple","can be mushy"
"apple","gets brown when not fresh"
"apple","can be crisp used for fruit salad"
"apple","a fruit"
"apple","grows from a tree"
"apple","a fruit"
"apple","red or green skin"
"apple","white inside"
"apple","has a stem"
"apple","has seeds"
"apple","a food item a fruit red grown on trees"
"ashtray","yuck"
"ashtray","cigars"
"ashtray","lung cancer"
"ashtray","bad"
"ashtray","dirty"
"ashtray","ashy"
"ashtray","powder"
"ashtray","where you put cigarette butts"
"ashtray","disgusting"
"ashtray","where smokers put their ashes"
"ashtray","what you smoke with"
"ashtray","in vehicles and restaurants"
"ashtray","used to store waste from cigarette use"
"ashtray","used to store cigarette butts after someone is through"
"ashtray","used to hold ashes of cigarettes or other smoking apparatuses"
"ashtray","used to hold ashes from cigarettes"
"ashtray","used to hold ashes"
"ashtray","used for cigarette ashes"
"ashtray","smells bad"
"ashtray","used by to drop ashes in"
"ashtray","made from glass"
"ashtray","made from plastic"
"ashtray","smokers"
"ashtray","made from wood"
"ashtray","made from stone found in bars"
"ashtray","found in restaurants"
"ashtray","used"
"ashtray","sturdy"
"ashtray","non combustible"
"ashtray","stinky"
"ashtray","stinks"
"ashtray","has cigarette butts"
"ashtray","dirty"
"ashtray","something you use to put ashes in"
"ashtray","smoke"
"ashtray","color"
"ashtray","hard"
"ashtray","something"
"ashtray","smoking"
"ashtray","dirty"
"ashtray","gray"
"ashtray","smoking"
"ashtray","cigarettes"
"ashtray","disgusting"
"ashtray","butt"
"ashtray","smoking"
"ashtray","ashes"
"ashtray","dirty"
"ashtray","smelly"
"ashtray","smoke"
"ashtray","smoking environment"
"ashtray","smoking cigarettes"
"ashtray","smoking"
"ashtray","gross"
"ashtray","dirty"
"ashtray","smelly"
"ashtray","where smoking buds go into"
"ashtray","smoking"
"ashtray","cigarettes"
"ashtray","smoking"
"ashtray","smokers"
"ashtray","cigarettes"
"ashtray","marijuana"
"ashtray","nasty"
"ashtray","unsanitary"
"ashtray","smelly"
"ashtray","health"
"ashtray","smoking"
"ashtray","holds ashes"
"ashtray","smoke"
"ashtray","smell"
"ashtray","second hand smoke"
"ashtray","smoke"
"ashtray","cough"
"ashtray","Grey matter"
"ashtray","disgusting smell"
"ashtray","stains"
"ashtray","dryness"
"ashtray","addiction cigarette"
"ashtray","second hand smoke"
"ashtray","heart attack"
"ashtray","lung cancer"
"ashtray","smoke"
"ashtray","cigarettes"
"ashtray","car"
"ashtray","truck"
"ashtray","vehicle"
"ashtray","home"
"ashtray","smoke cir grates"
"ashtray","gross"
"ashtray","smoke"
"ashtray","cancer"
"ashtray","refrigerate"
"ashtray","smells"
"ashtray","contains ashes"
"ashtray","is located in a bar and smoking sections"
"ashtray","is useful to smokers"
"ashtray","small"
"ashtray","smoke filled dirty"
"ashtray","plate"
"ashtray","physical"
"ashtray","nasty"
"ashtray","cigarettes"
"ashtray","ash"
"ashtray","bars"
"ashtray","dirty"
"ashtray","smelly"
"ashtray","nasty"
"ashtray","misdirection deviation detour"
"ashtray","is gross"
"ashtray","is ashy"
"ashtray","makes me sneeze"
"ashtray","is gross"
"ashtray","is Grey"
"ashtray","is dusty"
"ashtray","holds ash from cigarettes"
"ashtray","circle"
"ashtray","holds ash"
"ashtray","can be different shapes"
"ashtray","used when smoking"
"ashtray","gross"
"ashtray","used for cigarettes"
"ashtray","smells"
"ashtray","is dirty"
"ashtray","gross"
"ashtray","smokers"
"ashtray","ashes"
"ashtray","smell"
"ashtray","stench"
"ashtray","gross"
"ashtray","Grey"
"ashtray","smells"
"ashtray","for cigarettes to ash in"
"ashtray","nasty"
"ashtray","dirty"
"ashtray","stinky"
"ashtray","black"
"ashtray","smelly"
"ashtray","flat"
"ashtray","smells of cigarettes"
"ashtray","dirty"
"ashtray","used by smokers"
"ashtray","fire safety tool"
"ashtray","font smoke"
"ashtray","cogs"
"ashtray","cigars"
"ashtray","disgusting"
"ashtray","cigarettes"
"ashtray","dirty"
"ashtray","smoke"
"ashtray","black"
"ashtray","dust"
"ashtray","dirty"
"ashtray","germs"
"ashtray","ash"
"ashtray","cigarette butts"
"ashtray","dirty"
"ashtray","ashes"
"ashtray","plastic"
"ashtray","cigarettes"
"ashtray","clean"
"ashtray","dirty"
"ashtray","circular"
"ashtray","square"
"ashtray","inside a car or a home"
"ashtray","cogs"
"ashtray","blunts"
"ashtray","cigarettes"
"ashtray","ashes"
"ashtray","smoke"
"ashtray","cigarette butts"
"ashtray","smoke smell"
"ashtray","ashes"
"ashtray","cigarettes"
"ashtray","smoke"
"ashtray","ashes"
"ashtray","car"
"ashtray","house"
"ashtray","cancer"
"ashtray","cigarettes"
"ashtray","cigarettes"
"ashtray","smoking"
"ashtray","stinky"
"ashtray","unhealthy"
"ashtray","dirty"
"ashtray","cigarette users use them"
"ashtray","catch ash from cigarettes"
"ashtray","look like small bowls"
"ashtray","cigarettes"
"ashtray","in houses"
"ashtray","different colors"
"ashtray","cigarettes"
"ashtray","smells"
"ashtray","smoker"
"ashtray","cigarettes"
"ashtray","smells horrible"
"ashtray","cigarettes"
"ashtray","smoke"
"ashtray","glass"
"ashtray","ashes"
"ashtray","cigarettes"
"ashtray","nasty"
"ashtray","dirty"
"ashtray","ashes"
"ashtray","cigarettes"
"ashtray","butts"
"ashtray","Marlboro"
"ashtray","ash"
"ashtray","cigarettes"
"ashtray","butts"
"ashtray","cigars"
"ashtray","decorative"
"ashtray","souvenirs"
"ashtray","cigarettes smoke"
"ashtray","blunt"
"ashtray","cancer"
"ashtray","ashes"
"ashtray","butts"
"ashtray","cigarettes gross ashes smells"
"ashtray","cigarettes"
"ashtray","smoking"
"ashtray","trash"
"ashtray","cigarettes"
"ashtray","smoking"
"ashtray","gross"
"ashtray","black"
"ashtray","cigarettes"
"ashtray","smelly"
"ashtray","dirty"
"ashtray","cigarettes"
"ashtray","smelly"
"ashtray","ash in the tray"
"ashtray","round"
"ashtray","square"
"ashtray","metal"
"ashtray","glass"
"ashtray","plastic"
"ashtray","cigarettes"
"ashtray","smelly"
"ashtray","cigarettes"
"ashtray","cigars"
"ashtray","cigarettes"
"ashtray","ashes"
"ashtray","dirty"
"ashtray","cigarettes"
"ashtray","cigarette"
"ashtray","smoke"
"ashtray","ashes"
"ashtray","cancer"
"ashtray","stick"
"ashtray","nasty"
"ashtray","fire"
"ashtray","cigarette"
"ashtray","smoke"
"ashtray","ash"
"ashtray","second hand smoke"
"ashtray","addiction"
"ashtray","nicotine"
"ashtray","fire"
"ashtray","cigarette"
"ashtray","ash"
"ashtray","smoker"
"ashtray","burning"
"ashtray","fire"
"ashtray","cigarette"
"ashtray","ash"
"ashtray","smoke"
"ashtray","lighter"
"ashtray","bar"
"ashtray","cigarette ash"
"ashtray","trash"
"ashtray","cigarette"
"ashtray","trash"
"ashtray","cigarette"
"ashtray","cigar"
"ashtray","metal"
"ashtray","glass"
"ashtray","built into cars"
"ashtray","cigarette"
"ashtray","blunt"
"ashtray","ashes"
"ashtray","smoke"
"ashtray","parties glass"
"ashtray","cigarettes"
"ashtray","lighters"
"ashtray","cancer"
"ashtray","lung problems"
"ashtray","bars"
"ashtray","tables"
"ashtray","ashes"
"ashtray","cigarette"
"ashtray","discards"
"ashtray","ashes"
"ashtray","ash"
"ashtray","cigarettes"
"ashtray","filth"
"ashtray","ash"
"ashtray","cigarettes"
"ashtray","nasty"
"ashtray","a tray used to put cigarette"
"ashtray","tobacco"
"ashtray","and other smokeless items ash into"
"ashtray","a dish"
"ashtray","smells gross"
"bake","you bake in an oven to make yummy foods"
"bake","warm in the oven cook things healthier then frying"
"bake","using the oven to create something with dough such as cookies bread cake or sometimes a casserole the heating of materials so they will rise usually has to do with desserts but can be other things as well"
"bake","to put food into an oven to cook usually pastries or dessert"
"bake","to make food"
"bake","to make a cake to use an oven done in the kitchen used to make food to use heat to cook slang meaning to get high"
"bake","to make a cake dinner its hard its challenging its a long process"
"bake","to create food often requires heat in the form of an oven a variety of things are bake-cakes cookies meatloaf ham etc a meal tasty can be different colors"
"bake","to cook usually some form of pastry or bread done in an oven"
"bake","to cook something usually sweet or in a bread form to cook in an oven bakers bake things and sell them for a profit bake cookies brownies cakes and bread to make something that is edible"
"bake","to cook something to make desserts"
"bake","to cook something"
"bake","to cook in the stove for a period of time"
"bake","to cook in an oven girls like to do this with each other mainly with brownies"
"bake","to cook food"
"bake","to cook cookie"
"bake","this requires an oven brownies cookies cakes"
"bake","this is a verb"
"bake","the act of heating up a substance in an enclosed area"
"bake","term used in cooking can base stores around it used to make cakes cupcakes other ""sweet"" items need electric appliances for that uses ingredients to make food"
