cue,feature_response
bake,oven pastries bread heat. 
bake,oven hot bowl flour easybake timer hot mits cut eat yummy baker 
bake,oven food cake bread 
bake,oven food cake 
bake,not fry something 
bake,makes hot food used by cooks 
bake,makes cakes cookies and pies done in an oven usually uses flour done by grandmas 
bake,is what you do to cakes is usually done in an oven can be used to describe someone who is sunburnt 
bake,is what you do in the oven can bake cakes and cookies and variety of dinners 
bake,is using the oven to make some sort of food it smells like food being cooked it feels very hot it is used by chefs or anyone making food it is in the cooking category 
bake,is used for making cookies uses an oven is a childhood toy is girls that go to tanning beds is making bread done by using an oven 
bake,is to make something in the oven dessert cook it surround it with heat 
bake,is to cook something performed by chefs and caterers done for bake sales 
bake,is made is cooked is produced by humans has ingredients 
bake,is how you make cookies 
bake,is done with an oven can describe overheating is a form of cooking 
bake,is done in the oven smells good making things like cookies bread or cakes. is done by bakers. is done at a bakery or at home in a kitchen. 
bake,is an action you mix things together to make a chemical reaction and then put it in heat 
bake,is an act of cooking 
bake,in the oven cookies cake batter spoons flour sugar eggs 
bake,in the oven cakes cookies food mom doing work best part of going home from college 
bake,in an oven food yummy brownies made with heat usually dessert chicken 
bake,in an oven cake cookies for food in the heat wearing an apron ingredients in the kitchen 
bake,heat cook pastries mixers cake cookies ovens broil fresh home cooked 
bake,good smelling home cooking sweets delicious oven and stove ingredients recipe 
bake,form of cooking bake pies bread martha stewart uses it do it a lot on thanksgiving 
bake,food heat oven smell cookies cakes holiday 
bake,easy bake oven cookies cake 
bake,done in an oven associated with desserts can be fun 
bake,cooking food smells good desserts done in the oven 
bake,cooking cake kitchen oven ingredients mittens apron bowls mixing spoons table 
bake,cookies oven food the holidays baking trays 
bake,cookies cakes muffins cook deserts in a oven 
bake,cookies cake pies bake-off delicious fundraiser oven warm satisfying hobby 
bake,cookies cake food 
bake,cook something kill food bourne pathogens changes properties of food 
bake,cook something in an oven. slang for a group of individuals smoking marijuana. 
bake,cook oven stove to dry heat many foods must be baked before being eaten 
bake,cook oven heat air cake cookies potatoes. 
bake,cook oven 
bake,cook make cakes make cookies requires an oven requires flour 
bake,cook harden dry heat 
bake,cook cake food sun hot heat oven 
bake,cook by dry heat use an oven 
bake,chicken cook a method of cooking 
bake,can be applied to ovens used for cakes pastries and the cast of the jersey shore radiation heat 
bake,cakes bake in ovens foods pastries birthdays bake for fun martha stewarts 
bake,cake oven food sun 
bake,cake cupcakes muffins sweets 
bake,cake cookies half-baked bakery baked potatoes 
bake,bread cake cup cake bakery danish torte doughnut 
bake,balbake: used to heat healthy form of cooking when you use an oven 
bake,bakerys cookies what you to in an oven a type of cooking 
bake,bake: is how you cook some foods. 
bake,bake: cake birthday cookies guests parties messy yummy 
bake,bake: an act of cooking can be hot usually used to make food but can also be used to make an item such as pottery. 
bake,bake: a form of cooking used to make cake used to make a whole surpuls of food like cookies. something an oven or stove sometimes even an oven is required for. 
bake,bake 
bake,an action that requires a pan cooking materials and a stove. this usually takes place in a kitchen. 
bake,a way to cook something can be used to describe a person in the sun a type of sale 
bake,a way of heating a substance a form of cooking involves high temperatures is a process to makes sweets involves a leavening agent makes the air smell good 
bake,a way of cooking oven used to make cakes 
bake,a way of cooking is done in the oven 
bake,a type of cooking deals with substances like flour sugar butter milk types of baked goods include cakes pies cookies almost might refer to sun-tanning 
bake,a past time activity uses an oven makes goods sweets and treats 
bake,a cooking term oven cooking usually for pastries and casseroles 
balloon,weightless  found at theme parks  given to children  found at parties 
balloon,weather instrument 
balloon,usually round  for parties  decoration 
balloon,used to be made with pig bladders 
balloon,teardrop shaped  helium  static  color 
balloon,small  round  flies away  helium  colorful  entertains children  happy 
balloon,rubber. many colors. birthday. pop. helium. 
balloon,"rubber, filled with air, given to kids, celebrations, birthdays, clowns. "
balloon,rubber ball containing air  helium  flies 
balloon,rubber  colorful  oxygen  helium  
balloon,round rubber object that can be different sizes and can pop 
balloon,round  colorful  inflated  attached to a string 
balloon,round  air  party 
balloon,red  pop  air  big 
balloon,pop. loud  
balloon,pop  red 
balloon,pop  latex  float  static  party 
balloon,"party, kids, blow up, "
balloon,party 
balloon,"parties, childhood, get well "
balloon,parties  helium  rubber  circular 
balloon,parties  clowns  animals  fairs  carnivals 
balloon,made of rubber  inflates  stores air  stores helium  
balloon,made of plastic 
balloon,like a toy 
balloon,letting go of something 
balloon,latex object containing air 
balloon,latex colorful stretchy 
balloon,kids birthday 
balloon,is filed with air  can float  are decorations  can be used to travle 
balloon,"is colorful, blown into, is made of rubber, can be tied to floats contain air, in the air, contains helium, can be "
balloon,inflates  filled with air  filled with water  clowns have them 
balloon,hot air  balloon animals 
balloon,hot air  99 red balloons  balloon animals 
balloon,helium filled substance 
balloon,helium  popping  floating away 
balloon,helium  fair  children 
balloon,helium 
balloon,have helium in them  float in the air  lighter than air  used at birthday parties 
balloon,fun  party  helium 
balloon,fun  cool 
balloon,floats  multi colored 
balloon,floats  filled with air 
balloon,floating. festivities or parties. kids. clowns. balloon animals. colors and shapes 
balloon,floating  celebrating  colorful  filled with helium 
balloon,"float, breakable, delicate, flies, slow, string, colorful, see-through, helium "
balloon,"filled with them, round, light, float, held down by string attached and air tied to something with weight, fly,symbol of caring. or helium, found at parties, kids love "
balloon,expand 
balloon,"elastic, air, float, celebrate, inflate, clown, colorful "
balloon,different colors and materials  big or small  filled with air  filled with helium  pop  floats  deflates  balloon animals  clowns  birthdays  celebrations  words on them  car lots. 
balloon,different colors  string  float  big  small 
balloon,different colors  light  happy  carnivals  birthdays  celebration  little kids 
balloon,decoration  kids  helium 
balloon,colorful  helium  happiness 
balloon,colorful  air  clowns 
balloon,"clowns, parades, birthday parties, a loud pop, air, a string "
balloon,clowns  round  float  air 
balloon,celebration  helium 
balloon,can be full of helium  can be made of latex  found at a birthday party 
balloon,blow up  string  pop  big  different colors 
balloon,blow up 
balloon,animals  circus  helium 
balloon,an object made of plastic which expands with air. the process of expansion 
balloon,air party celebration kids 
balloon,air  tied  floats  helium 
balloon,air  string  float 
balloon,air  colorful 
balloon,a rubber thing that you fill up with air usually helium so it can float 
balloon,a piece of rubber that can be blown up 
bean,vegetable  green  good with butter 
bean,vegetable  food  healthy 
bean,vegetable  food  good for you  green 
bean,vegetable  edible  can be cooked  used in chili  really has no taste 
bean,type of food  mexican food  burrito 
bean,tacos  canned beans  pork and beans 
bean,stock  brown  gross 
bean,stalk  shell  giant  food  protein 
bean,stalk  baked  food  grows in the ground 
bean,sprout  baked  protein  soy  green 
bean,small  round  
bean,seed produced from legume plant 
bean,rice  mexican  pinto  smushy 
bean,refried 
bean,pork  lima  black  pinto  kidney  nutrition  gas 
bean,pork  can  food  farts  protean  refried beans  mexican 
bean,plants  food  healthy  soup  stew  is green  is brown 
bean,plant  eaten  food  different types  size of a pebble 
bean,plant 
bean,mexican  disgusting  only useful for counting  a vegetable  has a recognizable smell 
bean,many different colors. magic beans make things grow. 
bean,little 
bean,lima bean  pinto bean  refried beans  mexican food  give you gas  some come from a beanstalk  which would make the giant come down from his home in the clouds 
bean,lima bean  burrito  soup  eat  food 
bean,kidney beans  baked beans  butter beans 
bean,jelly belly  pinto  black  mexican  fart 
bean,jelly  pinto  black  brown  in bags  sold at walmart  make gas  chilli 
bean,jack and the bean stalk  magic beans  ham and beans 
bean,jack  green  chili  soft  smooshy 
bean,jack 
bean,it is small  round  and edible 
bean,is a vegetable  comes in many varieties  is eaten by people all around the world  is small 
bean,is a food  is small  is cooked 
bean,i immediately think of kurt cobain and courtney love's daughter  francis bean 
bean,grown  a crop  black  brown  or fried 
bean,green  lima  black  chile  pole 
bean,green  lima  baked  refried 
bean,green  lima  baked 
bean,green  eat at grilling  brown 
bean,goes on tacos 
bean,food gross disgusting bad taste 
bean,food  used in cooking  dicot 
bean,food  mexican resutrants main food side  cooked  can be made into soups and chilli 
bean,food  meat 
bean,food  cooked 
bean,food  cook  eat  bean stalk 
bean,food  brown 
bean,food 
bean,facilitate gas 
bean,edible. can be refried or plain. cooked. don't tast good. served usually with mexican food. 
bean,edible  seed  green 
bean,edible  grow  green  black  food 
bean,edible 
bean,dip  mexican food  burritto 
bean,different colors  different types  baked  boiled 
bean,comes from a plant 
bean,colored  healthy 
bean,coffee  legume  small 
bean,coffee  green  veggies  plant 
bean,chips and dip  mexican food  burritos  jack and the bean stock  
bean,chilli  black  brown  mushy  
bean,chilli 
bean,can be green  can be black  can be red 
bean,can be eaten  used for food  comes from plant  cooked 
bean,can be eaten  different kinds of these  can be green  is a vegiitable 
bean,burried in the ground  needs water  needs sunlight  grows into a plant 
bean,brown  vegetable  grows on a plant  edible 
bean,brown  mushy consistancy  mexican food 
bean,black 
bean,baked 
bean,a vegetable found in a plant  gets you gassy 
bean,a vegetable  dietary staple  magical fruit 
bean,a food  many kinds of them  edible  are able to plant them 
belt,yell 
belt,"worn on pants, can be a car part "
belt,"wore with support our pants shorts or pants, come in variety colors, helps "
belt,wip 
belt,"whipping, leather, black, fathers, punishment, clothing attire "
belt,whipping slacks skirt brown black 
belt,whip;pants;lock 
belt,whip spank 
belt,whip 
belt,"when i my dad would beat me with a belt. i t used was harsh but fair. to get in trouble as a kid, "
belt,"what holds your pants up, usually made out of leather. "
belt,waiste 
belt,"waist,pants,helpful,clothes,accesory "
belt,"waist, shorts, pants "
belt,"waist, pants, whipping, safety, buckle, suit, "
belt,"waist, pants, leather, braided, buckle "
belt,"waist, paints, boys, skinny, fat "
belt,"waist, loop, round, buckle, fasten "
belt,"waist, leather, constraint, string long, snake, designs, knot, holds, pants, loop, waistband, "
belt,"waist, leather "
belt,"waist, hold up, clothes, accessories, brown, black, "
belt,"waist, buckle, leather "
belt,waist 
belt,used to to hold it together. has holes in it to ajust hold to different sizes. goes through loops. up pants. long. skinny. has a hook 
belt,"used to the waist, comes in leather, comes in colors hold up trousers, has a buckle, used around "
belt,used to hold up pants 
belt,used for securing pants 
belt,"used for safety, an object "
belt,trendy buckle fastensag 
belt,tightens pants/skirt; holes for buckle to fit into; can be leather; long has and skinny many different size options because lots of 
belt,"tight, brown, leather "
belt,tight pants loose hole waist 
belt,"tie, buckle "
belt,"the bible item used to hold up pants, clasped together by a belt, belt buckle, can be used as a piece of fashion, orion\'s item used for corporal punishment belt, a belt of stars, an "
belt,"suspenders, buckle "
belt,supporter or fashionable. goes through the loop holes in your pants. can your get them in any stile. waste. holds your pants up. trendy and 
belt,"support, region, corporal punishment "
belt,"support, pants, galaxy "
belt,"suits, colors, dresses, high waist. leather, smell like leather, jingle, fat belts for "
belt,"suits, brown, black. "
belt,"suit, man, lawyer, tie, easter present, different patterns of ties "
belt,strap pants button 
belt,strap 
belt,"spankings, leather "
belt,"spanking, leather, brown "
belt,"something you wear on your waist, leather, buckle "
belt,"something worn around waist, accessory, "
belt,"something to oants up whip your kids with, something to hold your "
belt,something to holds one\'s pants up 
belt,size 
belt,"shorts, pants, jeans, waist "
belt,"shorts, khakis, car, "
belt,"secure, to keep, to restrain "
belt,"seatbelt, pants, buckle, beltloop "
belt,"seat belt, safety, fashion, gravity "
belt,"seat belt, safety belt, protection, constrainment "
belt,"rubber. leather, tread, "
belt,"round around the waste, long, narrow strip of clothing "
belt,"punishment, tight, medium, small, adjustment, loose, pants, slacks, shorts, overweight, leather, sizes, large, "
belt,pink 
belt,"pants,belt loops, "
belt,"pants, waist, sun belt, middle, leather "
belt,"pants, waist, discipline, trouble, whooping, accessory "
belt,"pants, to sing loudly, tight, notches, clasp "
belt,"pants, spanking, convayer belt "
belt,"pants, shorts, leather, money, cute, ugly dress, hit, whip, car, safety, harness, rollercoaster, fashion, "
belt,"pants, shorts, hold up, fasten, whip, safety, stores, fashion, leather "
